longitude,latitude,YR,MO,X,Y,TOT,CR,
-74.21473691,40.52238302,2014,1,924549,129668,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.93441455,40.69482022,2014,1,1002437,192425,1,GRAND LARCENY,
-73.75945485,40.71346883,2014,6,1050935,199304,1,ROBBERY,
-73.9899364,40.73447282,2014,1,987039,206865,1,GRAND LARCENY,
-73.96689058,40.79881895,2014,1,993417,230310,1,GRAND LARCENY,
-73.96689058,40.79881895,2014,1,993417,230310,1,BURGLARY,
-73.98928073,40.7504225,2014,2,987220,212676,14,GRAND LARCENY,
-73.98561837,40.72927379,2014,1,988236,204971,1,GRAND LARCENY,
-73.99305769,40.73361394,2014,1,986174,206552,1,GRAND LARCENY,
-74.00419338,40.74257294,2014,1,983088,209816,1,GRAND LARCENY,
-74.00125175,40.71633589,2014,2,983903,200257,1,FELONY ASSAULT,
-73.98337623,40.76441177,2014,1,988855,217773,1,GRAND LARCENY,
-73.99383875,40.71548761,2014,1,985958,199948,1,FELONY ASSAULT,
-73.98878626,40.72907378,2014,1,987358,204898,1,GRAND LARCENY,
-73.98304099,40.6774166,2014,1,988954,186078,1,GRAND LARCENY,
-73.93960627,40.80359469,2014,2,1000970,232054,1,BURGLARY,
-73.96740019,40.7981137,2014,1,993276,230053,1,FELONY ASSAULT,
-73.73001295,40.72949066,2014,1,1059079,205165,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.79788439,40.70206134,2014,1,1040291,195121,1,ROBBERY,
-73.86625961,40.69034761,2014,1,1021339,190817,1,GRAND LARCENY,
-73.79530536,40.70216932,2014,1,1041006,195162,1,FELONY ASSAULT,
-73.75908257,40.70968027,2014,2,1051042,197924,1,BURGLARY,
-73.86601684,40.69272704,2014,1,1021405,191684,1,BURGLARY,
-73.79340275,40.70512479,2014,1,1041531,196240,1,GRAND LARCENY,
-73.84020004,40.69464288,2014,1,1028563,192394,1,GRAND LARCENY,
-73.9333827,40.7747057,2014,1,1002701,221530,1,GRAND LARCENY,
-73.83841191,40.69740162,2014,1,1029057,193400,1,GRAND LARCENY,
-73.76869035,40.71835424,2014,1,1048370,201077,1,GRAND LARCENY,
-73.75371782,40.71096994,2014,2,1052528,198398,2,FELONY ASSAULT,
-73.73787259,40.72457921,2014,1,1056906,203369,1,GRAND LARCENY,
-73.74572002,40.60436955,2014,2,1054858,159567,1,GRAND LARCENY,
-73.7916348,40.71340806,2014,1,1042014,199259,1,GRAND LARCENY,
-73.76106913,40.7240176,2014,1,1050477,203146,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.74808609,40.72844194,2014,1,1054071,204768,1,GRAND LARCENY,
-73.85443597,40.68859856,2014,1,1024619,190185,1,FELONY ASSAULT,
-73.87806358,40.75446461,2014,1,1018033,214172,1,ROBBERY,
-73.80825846,40.75669162,2014,1,1037371,215018,1,ROBBERY,
-73.8455041,40.69024201,2014,1,1027095,190788,1,BURGLARY,
-73.81762636,40.6956194,2014,1,1034822,192762,1,BURGLARY,
-73.85616052,40.72325342,2014,1,1024120,202810,1,GRAND LARCENY,
-74.13214146,40.63864326,2014,1,947576,171979,1,BURGLARY,
-74.12525327,40.62766632,2014,1,949482,167977,1,ROBBERY,
-73.91542601,40.83856367,2014,2,1007652,244800,1,GRAND LARCENY,
-73.91157683,40.83064229,2014,2,1008720,241915,1,ROBBERY,
-73.85490762,40.87783503,2014,2,1024374,259130,1,BURGLARY,
-73.8798056,40.82720736,2014,2,1017514,240674,2,BURGLARY,
-73.91438307,40.83459405,2014,2,1007942,243354,1,GRAND LARCENY,
-73.8048849,40.75376554,2014,1,1038308,213954,1,ROBBERY,
-73.92551379,40.83749196,2014,2,1004861,244407,1,FELONY ASSAULT,
-73.90163634,40.81329585,2014,2,1011478,235598,1,ROBBERY,
-73.95821488,40.69546811,2014,2,995837,192657,1,ROBBERY,
-73.91702519,40.69223989,2014,2,1007260,191489,1,BURGLARY,
-73.9304213,40.63378222,2014,2,1003562,170188,1,BURGLARY,
-73.91835679,40.68849972,2014,2,1006892,190126,1,GRAND LARCENY,
-73.9200587,40.69153938,2014,2,1006419,191233,1,BURGLARY,
-73.86979188,40.68929217,2014,2,1020360,190431,1,GRAND LARCENY,
-73.96106568,40.66752183,2014,2,995051,182475,1,FELONY ASSAULT,
-73.9325043,40.66887552,2014,2,1002974,182973,1,ROBBERY,
-73.97993525,40.75478266,2014,1,989809,214265,1,GRAND LARCENY,
-73.86932648,40.67837842,2014,2,1020495,186455,1,GRAND LARCENY,
-73.95246278,40.68057,2014,2,997435,187230,1,GRAND LARCENY,
-73.99109063,40.68374969,2014,2,986721,188385,1,GRAND LARCENY,
-73.88979887,40.65124299,2014,2,1014829,176561,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.88077704,40.64803083,2014,2,1017334,175394,1,FELONY ASSAULT,
-73.86745176,40.67473396,2014,2,1021017,185128,1,GRAND LARCENY,
-73.95130145,40.67616965,2014,2,997758,185627,1,ROBBERY,
-74.00033868,40.63543093,2014,2,984156,170781,1,GRAND LARCENY,
-73.96835327,40.63945318,2014,2,993033,172248,2,ROBBERY,
-73.9297707,40.64603181,2014,2,1003739,174651,1,ROBBERY,
-73.97582929,40.76041957,2014,1,990946,216319,1,GRAND LARCENY,
-73.91515312,40.62748365,2014,2,1007802,167897,1,GRAND LARCENY,
-73.89701029,40.65112891,2014,2,1012828,176517,1,ROBBERY,
-73.98477688,40.7012387,2014,2,988471,194757,1,FELONY ASSAULT,
-73.93668769,40.69350126,2014,2,1001807,191944,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.9987623,40.73726741,2014,2,984593,207883,1,GRAND LARCENY,
-73.97812338,40.76559662,2014,2,990310,218205,1,GRAND LARCENY,
-73.94583823,40.81994261,2014,2,999241,238009,1,BURGLARY,
-73.94235909,40.79893555,2014,2,1000209,230356,1,ROBBERY,
-74.00205304,40.73145675,2014,2,983681,205766,3,GRAND LARCENY,
-73.95251715,40.81688244,2014,2,997393,236893,1,BURGLARY,
-73.95504972,40.74733462,2014,1,996705,211554,1,GRAND LARCENY,
-73.97864485,40.74924078,2014,2,990167,212246,1,GRAND LARCENY,
-73.96498393,40.76374342,2014,2,993950,217531,1,GRAND LARCENY,
-73.99422591,40.74350335,2014,2,985850,210155,3,GRAND LARCENY,
-73.98463762,40.72651244,2014,2,988508,203965,1,GRAND LARCENY,
-73.95309651,40.78425611,2014,2,997239,225006,1,GRAND LARCENY,
-73.97037854,40.76057201,2014,2,992456,216375,1,GRAND LARCENY,
-74.00890221,40.73814539,2014,2,981783,208203,1,GRAND LARCENY,
-73.98048263,40.74672143,2014,2,989658,211328,1,GRAND LARCENY,
-73.95763308,40.78247653,2014,2,995983,224357,1,GRAND LARCENY,
-73.96802706,40.76379645,2014,2,993107,217550,1,GRAND LARCENY,
-73.99062327,40.75099078,2014,1,986848,212883,2,GRAND LARCENY,
-73.9789524,40.72395617,2014,2,990084,203034,1,GRAND LARCENY,
-73.80784485,40.68110008,2014,2,1037546,187478,1,BURGLARY,
-73.9007924,40.69359943,2014,2,1011761,191989,1,BURGLARY,
-73.7929891,40.69895379,2014,2,1041651,193992,1,ROBBERY,
-73.78215054,40.68279998,2014,2,1044671,188114,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.8304887,40.70454584,2014,2,1031249,196007,1,BURGLARY,
-73.78944066,40.68060126,2014,2,1042651,187308,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.8311703,40.66042455,2014,2,1031091,179932,3,FELONY ASSAULT,
-73.85202936,40.74127302,2014,2,1025254,209377,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.74914301,40.69879247,2014,2,1053809,193965,1,BURGLARY,
-73.98878575,40.75351579,2014,1,987357,213803,1,GRAND LARCENY,
-73.84821675,40.78168171,2014,2,1026285,224101,1,BURGLARY,
-73.83057958,40.68865374,2014,2,1031235,190217,1,FELONY ASSAULT,
-73.84194175,40.69011092,2014,2,1028083,190742,1,GRAND LARCENY,
-73.74886705,40.70886245,2014,2,1053875,197634,1,FELONY ASSAULT,
-73.83547472,40.58261856,2014,2,1029950,151583,1,GRAND LARCENY,
-73.82702093,40.67741133,2014,2,1032230,186123,1,FELONY ASSAULT,
-73.8344567,40.69848293,2014,2,1030153,193796,1,FELONY ASSAULT,
-73.82238394,40.68983811,2014,2,1033507,190653,1,ROBBERY,
-73.82562867,40.69282115,2014,2,1032605,191738,1,GRAND LARCENY,
-73.79946596,40.67745444,2014,2,1039873,186155,1,BURGLARY,
-73.98493936,40.73234783,2014,6,988424,206091,1,GRAND LARCENY,
-73.98143431,40.76359354,2014,1,989393,217475,1,GRAND LARCENY,
-73.83913724,40.69571735,2014,2,1028857,192786,1,BURGLARY,
-73.82729702,40.58054247,2014,2,1032223,150831,1,FELONY ASSAULT,
-73.81114474,40.68459965,2014,2,1036628,188751,1,GRAND LARCENY,
-73.79388803,40.69515389,2014,2,1041405,192607,1,GRAND LARCENY,
-73.74081613,40.69964137,2014,2,1056117,194281,1,BURGLARY,
-74.21688536,40.54933312,2014,2,923976,139488,1,FELONY ASSAULT,
-74.15777622,40.58006438,2014,2,940423,150649,1,FELONY ASSAULT,
-73.87761065,40.83006504,2014,2,1018120,241716,1,GRAND LARCENY,
-73.8892956,40.83291489,2014,2,1014885,242750,1,BURGLARY,
-73.88143733,40.83008002,2014,2,1017061,241720,1,FELONY ASSAULT,
-74.0002126,40.64447775,2014,1,984191,174077,1,ROBBERY,
-73.89946271,40.83166438,2014,2,1012072,242291,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.87633007,40.83276173,2014,2,1018473,242699,1,GRAND LARCENY,
-73.90010866,40.8322578,2014,2,1011893,242507,1,BURGLARY,
-73.82713512,40.84198661,2014,2,1032080,246083,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.91132724,40.83625778,2014,2,1008787,243961,1,ROBBERY,
-73.91694073,40.83529582,2014,2,1007234,243609,1,GRAND LARCENY,
-73.90383502,40.83675955,2014,2,1010860,244146,1,BURGLARY,
-73.87499935,40.83516467,2014,2,1018840,243575,1,FELONY ASSAULT,
-73.90673983,40.83728892,2014,2,1010056,244338,1,ROBBERY,
-73.96019937,40.65138223,2014,2,995294,176595,1,BURGLARY,
-73.95536877,40.8044198,2014,1,996606,232352,1,ROBBERY,
-73.93233667,40.67065952,2014,2,1003020,183623,1,FELONY ASSAULT,
-73.95153938,40.63649668,2014,2,997700,171173,1,GRAND LARCENY,
-73.93000524,40.67321901,2014,2,1003666,184556,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.92019903,40.66467636,2014,2,1006389,181446,1,ROBBERY,
-73.98373868,40.68449821,2014,2,988760,188658,1,GRAND LARCENY,
-73.97639644,40.67774754,2014,2,990797,186199,1,FELONY ASSAULT,
-73.90957852,40.69505316,2014,2,1009324,192516,1,ROBBERY,
-73.90287626,40.62956273,2014,2,1011209,168658,1,FELONY ASSAULT,
-73.93992771,40.67555218,2014,2,1000913,185404,1,GRAND LARCENY,
-73.90746103,40.67733671,2014,2,1009918,186062,1,FELONY ASSAULT,
-73.95536877,40.8044198,2014,1,996606,232352,1,GRAND LARCENY,
-73.92527204,40.71167575,2014,2,1004967,198568,1,GRAND LARCENY,
-73.94961315,40.63466233,2014,2,998235,170505,1,GRAND LARCENY,
-73.92718348,40.67563815,2014,2,1004448,185438,1,BURGLARY,
-73.93703439,40.6929525,2014,2,1001711,191744,1,FELONY ASSAULT,
-73.98756611,40.75178922,2014,2,987695,213174,1,GRAND LARCENY,
-73.98596253,40.75690798,2014,2,988139,215039,1,FELONY ASSAULT,
-73.94652809,40.79323127,2014,2,999056,228277,1,GRAND LARCENY,
-73.92796318,40.86163045,2014,2,1004176,253201,1,BURGLARY,
-74.00077939,40.73390783,2014,2,984034,206659,1,GRAND LARCENY,
-73.96764492,40.77018061,2014,2,993212,219876,1,GRAND LARCENY,
-73.99848787,40.74529306,2014,1,984669,210807,1,GRAND LARCENY,
-73.98836724,40.75252764,2014,2,987473,213443,1,BURGLARY,
-73.9932911,40.74478509,2014,2,986109,210622,1,FELONY ASSAULT,
-73.95717141,40.77043795,2014,2,996113,219971,1,ROBBERY,
-74.00273455,40.72099922,2014,2,983492,201956,1,GRAND LARCENY,
-73.9982607,40.73795633,2014,2,984732,208134,1,GRAND LARCENY,
-73.98638433,40.724111,2014,2,988024,203090,1,GRAND LARCENY,
-73.82710254,40.76413501,2014,2,1032145,217719,1,GRAND LARCENY,
-73.76444266,40.68107156,2014,2,1049584,187497,1,ROBBERY,
-73.79546372,40.66818924,2014,2,1040991,182782,1,BURGLARY,
-73.82716662,40.76030893,2014,2,1032130,216325,1,GRAND LARCENY,
-73.99072724,40.75595055,2014,1,986819,214690,1,GRAND LARCENY,
-73.81981895,40.76100307,2014,2,1034165,216582,1,GRAND LARCENY,
-73.81578762,40.69285248,2014,2,1035334,191755,1,GRAND LARCENY,
-73.74578361,40.67090085,2014,2,1054770,183806,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.83768919,40.66985403,2014,2,1029276,183364,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.81115369,40.6941707,2014,2,1036618,192238,1,GRAND LARCENY,
-73.93712619,40.76003716,2014,2,1001668,216185,1,FELONY ASSAULT,
-73.80606829,40.66838602,2014,2,1038049,182847,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.81727961,40.71161263,2014,2,1034906,198589,1,ROBBERY,
-73.91342066,40.8493681,2014,2,1008203,248737,1,GRAND LARCENY,
-73.91632614,40.84986155,2014,2,1007399,248916,3,BURGLARY,
-73.98979219,40.75723227,2014,1,987078,215157,1,ROBBERY,
-73.92017749,40.85134916,2014,2,1006333,249457,1,FELONY ASSAULT,
-73.91989789,40.85240842,2014,2,1006410,249843,1,FELONY ASSAULT,
-73.86122618,40.83912875,2014,2,1022649,245025,1,ROBBERY,
-73.87852552,40.82377237,2014,2,1017870,239423,1,BURGLARY,
-73.91660826,40.84683434,2014,2,1007322,247813,1,FELONY ASSAULT,
-73.87964058,40.82854661,2014,2,1017559,241162,1,ROBBERY,
-73.87964058,40.82854661,2014,2,1017559,241162,1,FELONY ASSAULT,
-73.84646485,40.84145678,2014,2,1026732,245880,1,GRAND LARCENY,
-73.92417488,40.80733212,2014,2,1005241,233419,1,ROBBERY,
-73.82954039,40.87793484,2014,2,1031389,259179,1,FELONY ASSAULT,
-73.86557681,40.7106581,2014,1,1021517,198217,1,ROBBERY,
-73.95121417,40.65256451,2014,2,997787,177027,1,ROBBERY,
-74.00162081,40.61399411,2014,2,983800,162971,1,GRAND LARCENY,
-73.961688,40.64466899,2014,2,994882,174149,1,FELONY ASSAULT,
-73.95489036,40.65755603,2014,2,996766,178845,1,FELONY ASSAULT,
-74.03270155,40.63024687,2014,2,975173,168894,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.95827034,40.71632834,2014,2,995818,200257,1,BURGLARY,
-73.95697211,40.66540689,2014,2,996187,181705,2,FELONY ASSAULT,
-73.91180575,40.67701899,2014,2,1008713,185945,1,FELONY ASSAULT,
-73.99589165,40.59276305,2014,2,985391,155236,1,FELONY ASSAULT,
-73.91521276,40.67978554,2014,2,1007767,186952,1,FELONY ASSAULT,
-73.85399664,40.6866849,2014,1,1024742,189488,1,ROBBERY,
-73.96310574,40.64181213,2014,2,994489,173108,1,ROBBERY,
-73.92797275,40.67921783,2014,2,1004228,186742,1,GRAND LARCENY,
-73.98327147,40.60657921,2014,2,988895,160270,1,BURGLARY,
-73.98467875,40.57899417,2014,2,988506,150220,1,GRAND LARCENY,
-73.94652057,40.63174597,2014,2,999094,169443,1,GRAND LARCENY,
-73.95883639,40.61168112,2014,2,995679,162131,1,GRAND LARCENY,
-73.9676006,40.60896383,2014,2,993246,161140,1,GRAND LARCENY,
-73.97584899,40.67621859,2014,2,990949,185642,1,GRAND LARCENY,
-73.93381594,40.62941178,2014,2,1002621,168595,1,GRAND LARCENY,
-73.92665871,40.66109324,2014,2,1004598,180139,1,GRAND LARCENY,
-73.72668164,40.72798964,2014,1,1060004,204621,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.90557082,40.67045677,2014,2,1010445,183556,1,BURGLARY,
-73.89958492,40.65730969,2014,2,1012111,178768,1,RAPE,
-73.94020316,40.67794577,2014,2,1000836,186276,1,BURGLARY,
-73.94912617,40.77721418,2014,2,998340,222441,1,ROBBERY,
-73.94267306,40.84117418,2014,2,1000112,245745,1,GRAND LARCENY,
-73.95478271,40.77915981,2014,2,996773,223149,1,GRAND LARCENY,
-73.94784628,40.80706804,2014,2,998688,233318,2,ROBBERY,
-73.94504,40.81090935,2014,2,999464,234718,1,FELONY ASSAULT,
-73.98844213,40.77853132,2014,2,987451,222917,1,GRAND LARCENY,
-73.94714605,40.78818399,2014,2,998886,226438,1,ROBBERY,
-73.95647762,40.77138737,2014,6,996305,220317,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.84046689,40.68108131,2014,1,1028498,187453,1,ROBBERY,
-73.94714605,40.78818399,2014,2,998886,226438,1,BURGLARY,
-74.00609856,40.73994613,2014,2,982560,208859,3,GRAND LARCENY,
-73.98088378,40.7448084,2014,2,989547,210631,1,GRAND LARCENY,
-73.9888165,40.72088343,2014,2,987350,201914,1,BURGLARY,
-73.94615444,40.79529513,2014,2,999159,229029,1,GRAND LARCENY,
-73.94280861,40.79700074,2014,2,1000085,229651,1,BURGLARY,
-73.9354276,40.83288133,2014,2,1002119,242725,1,BURGLARY,
-73.97809118,40.76469634,2014,2,990319,217877,1,GRAND LARCENY,
-73.90470544,40.70340705,2014,2,1010672,195561,1,GRAND LARCENY,
-73.79146753,40.70346071,2014,2,1042069,195635,1,FELONY ASSAULT,
-73.93956821,40.65852888,2014,1,1001017,179202,1,GRAND LARCENY,
-73.80531873,40.70782994,2014,2,1038225,197218,1,GRAND LARCENY,
-73.80621803,40.76821616,2014,2,1037927,219218,1,BURGLARY,
-73.76776277,40.69674552,2014,2,1048648,193205,1,FELONY ASSAULT,
-73.7938807,40.69752262,2014,2,1041405,193470,1,FELONY ASSAULT,
-73.83866049,40.78245098,2014,2,1028931,224386,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.81257409,40.73023927,2014,2,1036196,205378,1,ROBBERY,
-73.81331383,40.73021028,2014,2,1035991,205367,1,GRAND LARCENY,
-74.08198178,40.61486792,2014,2,961489,163300,1,GRAND LARCENY OF MOTOR VEHICLE,
-74.13877682,40.63612945,2014,2,945733,171066,1,RAPE,
-74.14130665,40.61766215,2014,2,945020,164339,1,BURGLARY,
-73.8896342,40.85317391,2014,1,1014782,250131,1,FELONY ASSAULT,
-74.08693669,40.6443351,2014,2,960124,174037,1,BURGLARY,
-73.89106846,40.86911376,2014,2,1014378,255938,1,FELONY ASSAULT,
-73.90257063,40.85371804,2014,2,1011203,250325,1,GRAND LARCENY,
-73.90481856,40.84899628,2014,2,1010583,248604,1,BURGLARY,
-73.88088132,40.83991101,2014,2,1017210,245302,1,GRAND LARCENY,
-73.92070621,40.82627385,2014,2,1006195,240321,1,BURGLARY,
-73.92070621,40.82627385,2014,2,1006195,240321,1,FELONY ASSAULT,
-73.86765893,40.85556339,2014,2,1020860,251010,1,GRAND LARCENY,
-73.86866763,40.85549044,2014,2,1020581,250983,1,BURGLARY,
-73.86364917,40.84892203,2014,2,1021973,248592,1,FELONY ASSAULT,
-73.88601586,40.85737254,2014,1,1015781,251662,1,GRAND LARCENY,
-73.93047641,40.8091284,2014,2,1003496,234072,1,GRAND LARCENY,
-73.86546402,40.84874575,2014,2,1021471,248527,1,BURGLARY,
-73.90413597,40.88121024,2014,2,1010759,260341,1,BURGLARY,
-73.90223629,40.85246891,2014,2,1011296,249870,1,GRAND LARCENY,
-73.88475934,40.84399359,2014,2,1016135,246788,1,FELONY ASSAULT,
-73.85206427,40.8295685,2014,2,1025190,241546,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.83018098,40.88197323,2014,2,1031209,260650,1,FELONY ASSAULT,
-73.85235045,40.83413059,2014,2,1025108,243208,1,FELONY ASSAULT,
-73.91068384,40.85251145,2014,2,1008959,249883,1,GRAND LARCENY,
-73.94880676,40.5962184,2014,2,998467,156499,1,GRAND LARCENY,
-73.87325109,40.76265797,2014,1,1019362,217159,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.94750105,40.63108493,2014,2,998822,169202,2,GRAND LARCENY,
-73.99788244,40.60438732,2014,2,984838,159471,1,GRAND LARCENY,
-73.98476394,40.61585408,2014,2,988480,163649,1,BURGLARY,
-73.87972549,40.67362208,2014,2,1017613,184718,1,GRAND LARCENY,
-73.96118541,40.65999569,2014,2,995019,179733,1,BURGLARY,
-73.95823415,40.73377949,2014,2,995825,206615,1,FELONY ASSAULT,
-73.94235888,40.70741472,2014,2,1000231,197012,1,ROBBERY,
-73.96329363,40.71946457,2014,2,994425,201399,1,FELONY ASSAULT,
-73.98718584,40.68348582,2014,2,987804,188289,1,GRAND LARCENY,
-73.90651505,40.68862795,2014,2,1010176,190176,1,BURGLARY,
-73.90336325,40.63907658,2014,1,1011070,172124,1,ROBBERY,
-73.93783923,40.59938323,2014,2,1001512,157654,1,GRAND LARCENY,
-73.93633034,40.62211205,2014,2,1001925,165935,1,GRAND LARCENY,
-73.93735349,40.70642399,2014,2,1001619,196652,1,RAPE,
-73.97077097,40.59840271,2014,2,992367,157292,1,GRAND LARCENY,
-73.92298534,40.70525972,2014,2,1005603,196231,1,GRAND LARCENY,
-73.9986243,40.60483199,2014,2,984632,159633,1,ROBBERY,
-73.94696651,40.59648655,2014,2,998978,156597,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.93463583,40.59784711,2014,2,1002402,157095,1,GRAND LARCENY,
-73.94504655,40.60171449,2014,2,999510,158502,1,GRAND LARCENY,
-73.96644672,40.59022751,2014,2,993569,154314,1,GRAND LARCENY,
-73.8959889,40.63822749,2014,1,1013117,171817,1,GRAND LARCENY,
-73.95995315,40.64730065,2014,2,995363,175108,1,RAPE,
-73.94105874,40.65218921,2014,2,1000605,176892,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.98503668,40.68460269,2014,2,988400,188696,1,ROBBERY,
-73.97040551,40.67551191,2014,2,992459,185385,1,GRAND LARCENY OF MOTOR VEHICLE,
-73.95552786,40.66362224,2014,2,996588,181055,1,BURGLARY,
-73.93209801,40.61826418,2014,2,1003101,164534,1,ROBBERY,
-73.98925168,40.68440828,2014,2,987231,188625,1,GRAND LARCENY,
-73.95561091,40.7229779,2014,2,996554,202680,1,GRAND LARCENY,
-74.00013352,40.74048152,2014,2,984213,209054,2,BURGLARY,
-73.99155789,40.75225618,2014,2,986589,213344,2,GRAND LARCENY,
-73.86070069,40.88124833,2014,1,1022770,260371,1,ROBBERY,
-73.93446084,40.84583032,2014,2,1002383,247443,1,GRAND LARCENY,
-73.94857475,40.80863286,2014,2,998486,233888,1,FELONY ASSAULT,
-73.95713398,40.77249374,2014,2,996123,220720,1,GRAND LARCENY,
-73.99566052,40.71415922,2014,2,985453,199464,1,GRAND LARCENY,
-73.99989897,40.72942565,2014,2,984278,205026,1,BURGLARY,
-73.9311887,40.85741381,2014,2,1003285,251664,1,GRAND LARCENY,
-74.01209188,40.71681834,2014,2,980898,200433,3,GRAND LARCENY,
-73.98930881,40.75534933,2014,2,987212,214471,1,GRAND LARCENY,
-73.98155208,40.75546088,2014,2,989361,214512,1,GRAND LARCENY,
-73.9832678,40.77930196,2014,2,988884,223198,1,FELONY ASSAULT,
-73.95298687,40.67872299,2014,1,997290,186557,1,ROBBERY,
-73.98768438,40.75634551,2014,2,987662,214834,9,GRAND LARCENY,
-73.98070374,40.78076999,2014,2,989594,223733,1,GRAND LARCENY,
-74.00358624,40.72660399,2014,2,983256,203998,1,BURGLARY,
-73.94656945,40.82269041,2014,2,999038,239010,1,GRAND LARCENY,
-73.92932698,40.85741269,2014,2,1003800,251664,1,FELONY ASSAULT,
-74.00148303,40.73480536,2014,2,983839,206986,1,BURGLARY,
-73.99598826,40.72265976,2014,2,985362,202561,2,ROBBERY,
-73.98221141,40.77345277,2014,2,989177,221067,1,GRAND LARCENY,
-73.92093789,40.86544921,2014,2,1006118,254594,1,GRAND LARCENY,
-73.94501271,40.78710706,2014,2,999477,226046,1,ROBBERY,
-73.94714487,40.67594548,2014,1,998911,185546,1,FELONY ASSAULT,
-73.94826252,40.81065284,2014,2,998572,234624,1,FELONY ASSAULT,
-73.94909442,40.80929732,2014,2,998342,234130,2,GRAND LARCENY,
-73.96158838,40.76763163,2014,2,994890,218948,1,GRAND LARCENY,
-73.91063727,40.70690864,2014,2,1009026,196835,1,BURGLARY,
-73.7768804,40.78375049,2014,2,1046039,224897,1,FELONY ASSAULT,
